iter	Quantile:alpha=0.9
0	13.31476962
1	13.22620363
2	12.64171598
3	12.13277731
4	11.96182826
5	11.50006372
6	10.76423691
7	10.42166253
8	10.30303401
9	9.829499269
10	9.435896488
11	9.03457312
12	8.93739503
13	8.366795332
14	8.063906888
15	7.705215837
16	7.439373913
17	7.187747029
18	6.927776144
19	6.669823501
20	6.43427126
21	6.221842859
22	6.004564596
23	5.788577097
24	5.619199783
25	5.444895801
26	5.247259898
27	5.084763761
28	4.913814401
29	4.734433685
30	4.56926183
31	4.43979979
32	4.301646452
33	4.196435875
34	4.088158316
35	3.926529869
36	3.817606053
37	3.695392166
38	3.556993873
39	3.442379637
40	3.357238068
41	3.237375075
42	3.162776031
43	3.078234847
44	2.999502952
45	2.924402392
46	2.85481098
47	2.794179964
48	2.736225864
49	2.686431679
50	2.633064961
51	2.528572642
52	2.47365247
53	2.419006817
54	2.365726918
55	2.325158708
56	2.256804393
57	2.208554569
58	2.155546917
59	2.121968929
60	2.090047085
61	2.065796929
62	2.037721872
63	1.986558708
64	1.952312287
65	1.926418267
66	1.897183208
67	1.875313767
68	1.852667904
69	1.818807379
70	1.795380477
71	1.73106396
72	1.714397609
73	1.690450101
74	1.667061045
75	1.632463794
76	1.612392232
77	1.595926148
78	1.57570569
79	1.562837636
80	1.547843113
81	1.537849709
82	1.517640449
83	1.497501639
84	1.472582413
85	1.4481692
86	1.41362417
87	1.383360141
88	1.364576951
89	1.34982283
90	1.333670027
91	1.305272614
92	1.29027385
93	1.261262969
94	1.252990075
95	1.245147725
96	1.237984234
97	1.227868082
98	1.21854384
99	1.195927817
100	1.181338704
101	1.158747348
102	1.126554916
103	1.096125594
104	1.082038645
105	1.074937206
106	1.064409893
107	1.055549215
108	1.046106662
109	1.029301423
110	1.020536289
111	1.008847353
112	0.9771462103
113	0.9601910424
114	0.9444286455
115	0.9399017293
116	0.9267304882
117	0.9208823206
118	0.9073840361
119	0.8961131149
120	0.8877525558
121	0.8829929344
122	0.8710450098
123	0.8631762397
124	0.8493536993
125	0.8433346151
126	0.8220448211
127	0.8170670336
128	0.8025205859
129	0.7862704696
130	0.7733989435
131	0.7694889369
132	0.752605152
133	0.7394862151
134	0.7342695128
135	0.7207783916
136	0.7151067105
137	0.7124332008
138	0.697716274
139	0.6931449743
140	0.6868831125
141	0.6786536313
142	0.6747887441
143	0.6713331466
144	0.6678151566
145	0.6541224039
146	0.6410388339
147	0.6283759374
148	0.6181717115
149	0.6155294559
150	0.6056313111
151	0.599770987
152	0.5985765943
153	0.5960049615
154	0.5756067356
155	0.5688351032
156	0.5668407531
157	0.5647157202
158	0.5383588015
159	0.5323824077
160	0.5255989163
161	0.5011524587
162	0.4959234166
163	0.4729289652
164	0.467672336
165	0.4604032116
166	0.4589088318
167	0.4521632533
168	0.4466775634
169	0.4427978957
170	0.4371187632
171	0.4334931104
172	0.4283419288
173	0.4227770901
174	0.4183659505
175	0.4153603143
176	0.4143834105
177	0.4114797255
178	0.4073281651
179	0.4046549679
180	0.4017842289
181	0.3976034274
182	0.3802175006
183	0.3780083178
184	0.3745895208
185	0.3709938308
186	0.3688411732
187	0.3658926988
188	0.3640979722
189	0.3623929819
190	0.3607732412
191	0.3592344875
192	0.3567928067
193	0.3554040815
194	0.3549721406
195	0.3536731605
196	0.3380112818
197	0.3373700475
198	0.3362055058
199	0.3343395082
200	0.3332885094
201	0.3309740574
202	0.3162940904
203	0.3153864298
204	0.3145241523
205	0.3131472998
206	0.3123690943
207	0.3116297991
208	0.3109274687
209	0.2971962831
210	0.2961277279
211	0.2955225529
212	0.2825331306
213	0.2819840966
214	0.2811110312
215	0.2806155279
216	0.2801447998
217	0.2678948957
218	0.2674677311
219	0.2665177469
220	0.2661304996
221	0.2657626146
222	0.2654131238
223	0.2648595857
224	0.2643337244
225	0.2640340798
226	0.2637494174
227	0.2634789881
228	0.2622693101
229	0.262015426
230	0.2505405371
231	0.2503101464
232	0.2500912751
233	0.2392098913
234	0.2288725766
235	0.2190521277
236	0.218870611
237	0.2186981702
238	0.2093840344
239	0.2092273799
240	0.2090785582
241	0.2088444849
242	0.2000152333
243	0.1998867572
244	0.1915044439
245	0.191387658
246	0.1912767114
247	0.1911031745
248	0.1910030451
249	0.1908464281
250	0.1907560613
251	0.190670213
252	0.190588657
253	0.1905111788
254	0.1903899915
255	0.1903200675
256	0.1902536396
257	0.1901905332
258	0.1901305821
259	0.1822180226
260	0.182128531
261	0.182043514
262	0.1819943155
263	0.1819475768
264	0.1818746854
265	0.1743681125
266	0.1743277244
267	0.1671981633
268	0.1604250806
269	0.1603898684
270	0.1603354742
271	0.1602837997
272	0.1602536099
273	0.1602253869
274	0.1599506979
275	0.1599252213
276	0.1599010186
277	0.1596427994
278	0.1596209516
279	0.1593768461
280	0.1591449459
281	0.1589246407
282	0.1587153507
283	0.1586984284
284	0.1586823522
285	0.1586670798
286	0.158470909
287	0.1584571217
288	0.1584440238
289	0.1584315808
290	0.1582473807
291	0.1580723907
292	0.1579061501
293	0.1578960057
294	0.1577386344
295	0.1577294758
296	0.1577207751
297	0.157572253
298	0.157431157
299	0.1572971157
300	0.1572900208
301	0.1571630708
302	0.1571566648
303	0.1571505793
304	0.1571447983
305	0.1571393064
306	0.1563290676
307	0.1555593409
308	0.1554398142
309	0.1553262639
310	0.1552183911
311	0.1551159119
312	0.1550185567
313	0.1549260692
314	0.1548382061
315	0.1547547365
316	0.1547506265
317	0.154746722
318	0.1547430127
319	0.1547394889
320	0.1547361413
321	0.1547329611
322	0.1547299399
323	0.1547270697
324	0.1547243431
325	0.1547217528
326	0.154719292
327	0.1547169542
328	0.1547147333
329	0.1547126235
330	0.1547106195
331	0.1541074841
332	0.1535345055
333	0.1529901759
334	0.1524730627
335	0.1519818052
336	0.1515151105
337	0.1510717506
338	0.1506505587
339	0.1502504264
340	0.1498703007
341	0.1495091813
342	0.1491661179
343	0.1488402076
344	0.1485305928
345	0.1482364588
346	0.1479570315
347	0.1476915755
348	0.1474393924
349	0.1471998184
350	0.1469722231
351	0.1467560076
352	0.1465506028
353	0.1463554684
354	0.146170091
355	0.1459939824
356	0.1458266793
357	0.1456677414
358	0.1455167503
359	0.1453733088
360	0.1452370394
361	0.1451075834
362	0.1449846003
363	0.1448677663
364	0.144756774
365	0.1446513313
366	0.1445511607
367	0.1444559987
368	0.1443655948
369	0.1442797111
370	0.1441981215
371	0.1441206115
372	0.1440469772
373	0.1439857376
374	0.143985359
375	0.1439849994
376	0.1439841533
377	0.1439833495
378	0.1439252389
379	0.143924497
380	0.1439237922
381	0.143923527
382	0.1439228773
383	0.1438677241
384	0.1438671237
385	0.1438665533
386	0.1438141788
387	0.1438136514
388	0.1438131503
389	0.1438129733
390	0.1438125105
391	0.1437627891
392	0.1437623607
393	0.1437151325
394	0.1437147357
395	0.1437141124
396	0.1437135203
397	0.1437129578
398	0.1437124237
399	0.1437119164
400	0.1437114345
401	0.1437109766
402	0.1437105417
403	0.1437101285
404	0.143709736
405	0.143709363
406	0.1437090088
407	0.1437086722
408	0.1437083525
409	0.1437080488
410	0.1437077603
411	0.1436987815
412	0.1372937273
413	0.1372852014
414	0.1372771018
415	0.1372694072
416	0.1372620973
417	0.1372551529
418	0.131170368
419	0.1253898261
420	0.1246116207
421	0.1245626803
422	0.1183807359
423	0.1131580881
424	0.108196573
425	0.1081506731
426	0.1034375014
427	0.0983087177
428	0.09826537988
429	0.09822420896
430	0.09818509658
431	0.09814793982
432	0.09327564003
433	0.09327160516
434	0.09323651652
435	0.09261133233
436	0.09201740734
437	0.09201410604
438	0.0920109698
439	0.09198119931
440	0.09141877032
441	0.09141607407
442	0.09141351263
443	0.09087946076
444	0.09087714364
445	0.09036990688
446	0.09036781054
447	0.08988603725
448	0.08942835263
449	0.08899355227
450	0.08899183085
451	0.08857885355
452	0.08857729532
453	0.08855805504
454	0.08853977678
455	0.0885384388
456	0.0881481224
457	0.088146911
458	0.08814576017
459	0.08812944139
460	0.08811393855
461	0.08811295015
462	0.08811201118
463	0.08811111915
464	0.08811027173
465	0.08810946668
466	0.08809495862
467	0.08772679869
468	0.08737704678
469	0.08737638573
470	0.08737575774
471	0.08737516115
472	0.08737459439
473	0.08704244696
474	0.08704193348
475	0.08703025349
476	0.08702978956
477	0.08702934882
478	0.08701829704
479	0.08700779784
480	0.08699782361
481	0.08699746328
482	0.08699712112
483	0.08296024482
484	0.07912521245
485	0.07548191344
486	0.07202077963
487	0.0687327023
488	0.0656090292
489	0.0626415542
490	0.05982245298
491	0.05714429217
492	0.05460005321
493	0.05218301244
494	0.04988683692
495	0.04769634758
496	0.04561538268
497	0.04363846607
498	0.04176039579
499	0.04175281878
