iter	Passed	Remaining
0	0	242
1	0	222
2	1	211
3	1	209
4	1	196
5	2	193
6	2	192
7	3	194
8	3	193
9	3	192
10	4	192
11	4	192
12	5	190
13	5	189
14	5	188
15	6	187
16	6	186
17	6	186
18	7	185
19	7	184
20	8	184
21	8	183
22	8	182
23	9	181
24	9	179
25	9	178
26	10	178
27	10	177
28	10	177
29	11	177
30	11	176
31	12	176
32	12	175
33	12	173
34	13	172
35	13	172
36	13	172
37	14	171
38	14	171
39	14	170
40	15	170
41	15	170
42	16	170
43	16	170
44	16	169
45	17	169
46	17	169
47	17	168
48	18	168
49	18	167
50	18	167
51	19	166
52	19	166
53	20	166
54	20	166
55	20	166
56	21	165
57	21	165
58	22	165
59	22	165
60	22	165
61	23	164
62	23	163
63	23	163
64	24	163
65	24	162
66	25	162
67	25	162
68	25	161
69	26	161
70	26	160
71	26	160
72	27	159
73	27	159
74	28	159
75	28	159
76	29	159
77	29	159
78	29	159
79	30	159
80	30	159
81	31	158
82	31	158
83	32	158
84	32	159
85	33	159
86	33	158
87	33	158
88	34	157
89	34	157
90	34	157
91	35	156
92	35	156
93	36	155
94	36	155
95	36	155
96	37	154
97	37	154
98	38	154
99	38	153
100	38	153
101	39	153
102	39	152
103	39	152
104	40	151
105	40	151
106	41	151
107	41	150
108	41	150
109	42	149
110	42	149
111	43	149
112	43	148
113	43	148
114	44	147
115	44	147
116	44	147
117	45	146
118	45	146
119	46	145
120	46	145
121	46	145
122	47	144
123	47	144
124	48	144
125	48	144
126	48	143
127	49	143
128	49	142
129	50	142
130	50	142
131	50	141
132	51	141
133	51	141
134	52	141
135	52	140
136	53	140
137	53	140
138	53	139
139	54	139
140	54	138
141	54	138
142	55	138
143	55	137
144	56	137
145	56	136
146	56	136
147	57	136
148	57	135
149	57	135
150	58	134
151	58	134
152	59	134
153	59	133
154	59	133
155	60	132
156	60	132
157	60	131
158	61	131
159	61	131
160	62	130
161	62	130
162	62	129
163	63	129
164	63	129
165	63	128
166	64	128
167	64	127
168	65	127
169	65	126
170	65	126
171	66	126
172	66	125
173	66	125
174	67	125
175	67	124
176	68	124
177	68	124
178	69	123
179	69	123
180	69	123
181	70	122
182	70	122
183	71	122
184	71	121
185	71	121
186	72	121
187	72	120
188	73	120
189	73	120
190	73	119
191	74	119
192	74	118
193	75	118
194	75	118
195	76	118
196	76	117
197	76	117
198	77	116
199	77	116
200	78	116
201	78	115
202	79	115
203	79	115
204	79	114
205	80	114
206	80	114
207	80	113
208	81	113
209	81	112
210	82	112
211	82	112
212	82	111
213	83	111
214	83	110
215	83	110
216	84	110
217	84	109
218	85	109
219	85	108
220	85	108
221	86	108
222	86	107
223	87	107
224	87	107
225	88	106
226	88	106
227	88	106
228	89	105
229	89	105
230	90	105
231	90	104
232	91	104
233	91	103
234	91	103
235	92	103
236	92	102
237	93	102
238	93	102
239	93	101
240	94	101
241	94	101
242	95	100
243	95	100
244	95	99
245	96	99
246	96	98
247	96	98
248	97	98
249	97	97
250	98	97
251	98	96
252	98	96
253	99	96
254	99	95
255	99	95
256	100	94
257	100	94
258	101	94
259	101	93
260	101	93
261	102	92
262	102	92
263	102	91
264	103	91
265	103	91
266	103	90
267	104	90
268	104	89
269	105	89
270	105	89
271	105	88
272	106	88
273	106	87
274	106	87
275	107	87
276	107	86
277	108	86
278	108	85
279	108	85
280	109	85
281	109	84
282	109	84
283	110	83
284	110	83
